region,date,year,month,day,year_week,task_count
region_a,2/14/2021,2021,2,14,2021_06,45
region_a,2/15/2021,2021,2,15,2021_07,75
region_a,2/16/2021,2021,2,16,2021_07,70
region_a,2/17/2021,2021,2,17,2021_07,145
region_a,2/18/2021,2021,2,18,2021_07,80
region_a,2/19/2021,2021,2,19,2021_07,65
region_a,2/20/2021,2021,2,20,2021_07,5
region_a,2/21/2021,2021,2,21,2021_07,55
region_a,2/22/2021,2021,2,22,2021_08,125
region_a,2/23/2021,2021,2,23,2021_08,120
region_a,2/24/2021,2021,2,24,2021_08,115
region_a,2/25/2021,2021,2,25,2021_08,90
region_a,2/26/2021,2021,2,26,2021_08,35
region_a,2/28/2021,2021,2,28,2021_08,55
region_a,3/1/2021,2021,3,1,2021_09,170
region_a,3/2/2021,2021,3,2,2021_09,105
region_a,3/3/2021,2021,3,3,2021_09,170
region_a,3/4/2021,2021,3,4,2021_09,110
region_a,3/5/2021,2021,3,5,2021_09,35
region_a,3/6/2021,2021,3,6,2021_09,5
region_a,3/7/2021,2021,3,7,2021_09,70
region_a,3/8/2021,2021,3,8,2021_10,150
region_a,3/9/2021,2021,3,9,2021_10,145
region_a,3/10/2021,2021,3,10,2021_10,185
region_a,3/11/2021,2021,3,11,2021_10,115
region_a,3/12/2021,2021,3,12,2021_10,10
region_a,3/13/2021,2021,3,13,2021_10,5
region_a,3/14/2021,2021,3,14,2021_10,50
region_a,3/15/2021,2021,3,15,2021_11,135
region_a,3/16/2021,2021,3,16,2021_11,130
region_a,3/17/2021,2021,3,17,2021_11,150
region_a,3/18/2021,2021,3,18,2021_11,165
region_a,3/19/2021,2021,3,19,2021_11,35
region_a,3/21/2021,2021,3,21,2021_11,55
region_a,3/22/2021,2021,3,22,2021_12,155
region_a,3/23/2021,2021,3,23,2021_12,105
region_a,3/24/2021,2021,3,24,2021_12,90
region_a,3/25/2021,2021,3,25,2021_12,95
region_a,3/26/2021,2021,3,26,2021_12,50
region_a,3/28/2021,2021,3,28,2021_12,25
region_a,3/29/2021,2021,3,29,2021_13,135
region_a,3/30/2021,2021,3,30,2021_13,155
region_a,3/31/2021,2021,3,31,2021_13,85
region_a,4/1/2021,2021,4,1,2021_13,115
region_a,4/2/2021,2021,4,2,2021_13,5
region_a,4/3/2021,2021,4,3,2021_13,10
region_a,4/4/2021,2021,4,4,2021_13,35
region_a,4/5/2021,2021,4,5,2021_14,110
region_a,4/6/2021,2021,4,6,2021_14,125
region_a,4/7/2021,2021,4,7,2021_14,160
region_a,4/8/2021,2021,4,8,2021_14,105
region_a,4/9/2021,2021,4,9,2021_14,20
region_a,4/10/2021,2021,4,10,2021_14,10
region_a,4/11/2021,2021,4,11,2021_14,50
region_a,4/12/2021,2021,4,12,2021_15,190
region_a,4/13/2021,2021,4,13,2021_15,120
region_a,4/14/2021,2021,4,14,2021_15,150
region_a,4/15/2021,2021,4,15,2021_15,125
region_a,4/16/2021,2021,4,16,2021_15,25
region_a,4/17/2021,2021,4,17,2021_15,10
region_a,4/18/2021,2021,4,18,2021_15,95
region_a,4/19/2021,2021,4,19,2021_16,145
region_a,4/20/2021,2021,4,20,2021_16,140
region_a,4/21/2021,2021,4,21,2021_16,185
region_a,4/22/2021,2021,4,22,2021_16,150
region_a,4/23/2021,2021,4,23,2021_16,70
region_a,4/24/2021,2021,4,24,2021_16,10
region_a,4/25/2021,2021,4,25,2021_16,120
region_a,4/26/2021,2021,4,26,2021_17,215
region_a,4/27/2021,2021,4,27,2021_17,210
region_a,4/28/2021,2021,4,28,2021_17,235
region_a,4/29/2021,2021,4,29,2021_17,180
region_a,4/30/2021,2021,4,30,2021_17,90
region_a,5/1/2021,2021,5,1,2021_17,15
region_a,5/2/2021,2021,5,2,2021_17,45
region_a,5/3/2021,2021,5,3,2021_18,140
region_a,5/4/2021,2021,5,4,2021_18,200
region_a,5/5/2021,2021,5,5,2021_18,135
region_a,5/6/2021,2021,5,6,2021_18,150
region_a,5/7/2021,2021,5,7,2021_18,30
region_a,5/8/2021,2021,5,8,2021_18,5
region_a,5/9/2021,2021,5,9,2021_18,120
region_a,5/10/2021,2021,5,10,2021_19,215
region_a,5/11/2021,2021,5,11,2021_19,175
region_a,5/12/2021,2021,5,12,2021_19,155
region_a,5/13/2021,2021,5,13,2021_19,115
region_a,5/14/2021,2021,5,14,2021_19,45
region_a,5/15/2021,2021,5,15,2021_19,10
region_a,5/16/2021,2021,5,16,2021_19,65
region_a,5/17/2021,2021,5,17,2021_20,120
region_a,5/18/2021,2021,5,18,2021_20,175
region_a,5/19/2021,2021,5,19,2021_20,115
region_a,5/20/2021,2021,5,20,2021_20,135
region_a,5/21/2021,2021,5,21,2021_20,45
region_a,5/23/2021,2021,5,23,2021_20,75
region_a,5/24/2021,2021,5,24,2021_21,185
region_a,5/25/2021,2021,5,25,2021_21,65
region_a,5/26/2021,2021,5,26,2021_21,115
region_a,5/27/2021,2021,5,27,2021_21,90
region_a,5/28/2021,2021,5,28,2021_21,20
region_a,5/30/2021,2021,5,30,2021_21,125
region_b,1/2/2020,2020,1,2,2020_01,15
region_b,1/3/2020,2020,1,3,2020_01,5
region_b,1/4/2020,2020,1,4,2020_01,5
region_b,1/5/2020,2020,1,5,2020_01,5
region_b,1/7/2020,2020,1,7,2020_02,35
region_b,1/8/2020,2020,1,8,2020_02,40
region_b,1/9/2020,2020,1,9,2020_02,85
region_b,1/10/2020,2020,1,10,2020_02,40
region_b,1/11/2020,2020,1,11,2020_02,10
region_b,1/13/2020,2020,1,13,2020_03,70
region_b,1/14/2020,2020,1,14,2020_03,65
region_b,1/15/2020,2020,1,15,2020_03,40
region_b,1/16/2020,2020,1,16,2020_03,80
region_b,1/17/2020,2020,1,17,2020_03,40
region_b,1/20/2020,2020,1,20,2020_04,90
region_b,1/21/2020,2020,1,21,2020_04,35
region_b,1/22/2020,2020,1,22,2020_04,90
region_b,1/23/2020,2020,1,23,2020_04,80
region_b,1/24/2020,2020,1,24,2020_04,65
region_b,1/26/2020,2020,1,26,2020_04,20
region_b,1/27/2020,2020,1,27,2020_05,35
region_b,1/28/2020,2020,1,28,2020_05,55
region_b,1/29/2020,2020,1,29,2020_05,60
region_b,1/30/2020,2020,1,30,2020_05,45
region_b,1/31/2020,2020,1,31,2020_05,65
region_b,2/1/2020,2020,2,1,2020_05,5
region_b,2/2/2020,2020,2,2,2020_05,30
region_b,2/3/2020,2020,2,3,2020_06,40
region_b,2/4/2020,2020,2,4,2020_06,80
region_b,2/5/2020,2020,2,5,2020_06,55
region_b,2/6/2020,2020,2,6,2020_06,110
region_b,2/7/2020,2020,2,7,2020_06,35
region_b,2/10/2020,2020,2,10,2020_07,85
region_b,2/11/2020,2020,2,11,2020_07,130
region_b,2/12/2020,2020,2,12,2020_07,70
region_b,2/13/2020,2020,2,13,2020_07,40
region_b,2/14/2020,2020,2,14,2020_07,50
region_b,2/17/2020,2020,2,17,2020_08,85
region_b,2/18/2020,2020,2,18,2020_08,65
region_b,2/19/2020,2020,2,19,2020_08,90
region_b,2/20/2020,2020,2,20,2020_08,95
region_b,2/21/2020,2020,2,21,2020_08,70
region_b,2/23/2020,2020,2,23,2020_08,15
region_b,2/24/2020,2020,2,24,2020_09,75
region_b,2/25/2020,2020,2,25,2020_09,55
region_b,2/26/2020,2020,2,26,2020_09,100
region_b,2/27/2020,2020,2,27,2020_09,45
region_b,2/28/2020,2020,2,28,2020_09,60
region_b,2/29/2020,2020,2,29,2020_09,5
region_b,3/1/2020,2020,3,1,2020_09,20
region_b,3/2/2020,2020,3,2,2020_10,55
region_b,3/3/2020,2020,3,3,2020_10,90
region_b,3/4/2020,2020,3,4,2020_10,85
region_b,3/5/2020,2020,3,5,2020_10,80
region_b,3/6/2020,2020,3,6,2020_10,80
region_b,3/7/2020,2020,3,7,2020_10,5
region_b,3/8/2020,2020,3,8,2020_10,5
region_b,3/9/2020,2020,3,9,2020_11,90
region_b,3/10/2020,2020,3,10,2020_11,80
region_b,3/11/2020,2020,3,11,2020_11,120
region_b,3/12/2020,2020,3,12,2020_11,90
region_b,3/13/2020,2020,3,13,2020_11,35
region_b,3/16/2020,2020,3,16,2020_12,20
region_b,3/17/2020,2020,3,17,2020_12,75
region_b,3/18/2020,2020,3,18,2020_12,75
region_b,3/19/2020,2020,3,19,2020_12,90
region_b,3/20/2020,2020,3,20,2020_12,50
region_b,3/21/2020,2020,3,21,2020_12,5
region_b,3/22/2020,2020,3,22,2020_12,5
region_b,3/23/2020,2020,3,23,2020_13,70
region_b,3/24/2020,2020,3,24,2020_13,70
region_b,3/25/2020,2020,3,25,2020_13,60
region_b,3/26/2020,2020,3,26,2020_13,65
region_b,3/27/2020,2020,3,27,2020_13,50
region_b,3/29/2020,2020,3,29,2020_13,5
region_b,3/30/2020,2020,3,30,2020_14,70
region_b,3/31/2020,2020,3,31,2020_14,55
region_b,4/1/2020,2020,4,1,2020_14,80
region_b,4/2/2020,2020,4,2,2020_14,85
region_b,4/3/2020,2020,4,3,2020_14,70
region_b,4/4/2020,2020,4,4,2020_14,5
region_b,4/6/2020,2020,4,6,2020_15,95
region_b,4/7/2020,2020,4,7,2020_15,60
region_b,4/8/2020,2020,4,8,2020_15,40
region_b,4/9/2020,2020,4,9,2020_15,60
region_b,4/10/2020,2020,4,10,2020_15,55
region_b,4/14/2020,2020,4,14,2020_16,75
region_b,4/15/2020,2020,4,15,2020_16,80
region_b,4/16/2020,2020,4,16,2020_16,90
region_b,4/17/2020,2020,4,17,2020_16,20
region_b,4/19/2020,2020,4,19,2020_16,10
region_b,4/20/2020,2020,4,20,2020_17,50
region_b,4/21/2020,2020,4,21,2020_17,105
